GENEID,GSM1076965,GSM1076966,GSM1076967,GSM1076968
HSPA6,194.762,356.937,232.085,340.134
HSPA9,2444.75,1140.02,3292.38,1261.18
HSPA9,13590.5,7959.69,14212.7,7511.85
HSPA9,10069.8,5608.01,10054.9,5257.58
HSPA1A,8892.69,7664.49,7159.98,8706.51
HSPA1B///HSPA1A,6325.95,5577.67,5749.33,5639.61
HSPA13,3989.7,4112.73,4162.79,4987.04
HSPA1B///HSPA1A,13647.8,11977.8,13482,12591.6
HSPA4L,3181.46,2493.02,3097.03,2628.19
HSPA8,65706.9,36666,65860,44681.4
HSPA4,2219.99,945.74,2445.9,1944.83
HSPA4,8361.56,3864.18,8475.37,5270.07
HSPA1L,271.222,565.842,67.3045,639.146
HSPA8,71697.7,52301.6,77483.8,55787.3
HSPA4,9033.72,4511.21,8764.38,5880.28
HSPA4,5049.24,2414.97,5464.96,2856.5
HSPA2,313.293,409.481,174.661,147.205
HSPA5,28284.2,56985.3,25965.9,54533.3
HSPA6,432.309,461.409,331.386,478.192
HSPA12A,175.94,154.42,391.339,271.284
HSPA14,5819.86,2603.09,5888.78,2946.64
HSPA12A,9.99538,18.9736,18.6499,18.6384
HSPA8,41531.9,32019.2,43219.9,35905.3
PLD1,358.005,1315.27,394.197,1295.68
PLD3,4020.03,11322,3594.29,10492.7
PLD1,1310.79,2307.76,664.2,2199.43
GPLD1,173.779,42.3944,163.532,24.6522
GPLD1,38.314,149.879,98.7355,27.0354
GPLD1,19.066,12.6435,14.0361,13.4125
PLD2,958.135,1577.97,765.085,1325.04
GPLD1,29.125,62.7576,71.741,5.60311
PLD1,593.143,1607.76,356.245,1677.63
PLD1,16.2768,158.018,6.89406,175.371
GPLD1,192.703,141.413,379.276,42.0791
PLD1,16.2768,154.018,36.89406,275.371
